source_path,target_path,cluster,proposed_action,manual_review_required
"/ai-overview-prospecting-clay-alternative-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/amazon-seller-enrichment-clay-alternative-google-sheets-ai/","/no-code-lead-enrichment-google-sheets-vs-clay/","Clay","merge_content_then_301","yes"
"/apollo-clay-alternative-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/apollo-export-enrichment-clay-alternative-google-sheets-ai/","/no-code-lead-enrichment-google-sheets-vs-clay/","Clay","merge_content_then_301","yes"
"/clay-alternative-abm-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-b2b-sales-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-ecommerce-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-agencies-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-biotech-sales-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-commercial-cleaning-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-commercial-real-estate-tenant-reps-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-construction-suppliers-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-coworking-spaces-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-customer-expansion-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-dental-labs-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-ecommerce-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-edtech-sales-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-executive-search-firms-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-fitness-studios-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-fractional-sales-teams-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-home-services-marketing-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-hospitality-sales-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-hvac-contractors-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-it-services-sales-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-landscaping-companies-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-legal-tech-sales-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-local-marketing-agencies-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-logistics-brokers-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-manufacturing-reps-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-med-spas-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-micro-saas-founders-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-moving-companies-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-nonprofit-fundraising-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-payroll-hr-sales-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-pest-control-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-plumbing-contractors-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-pool-service-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-private-equity-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-promotional-products-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-property-and-casualty-insurance-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-roofing-contractors-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-security-installers-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-self-storage-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-senior-living-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-seo-link-building-teams-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-shopify-agencies-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
"/clay-alternative-for-signage-companies-google-sheets-ai/","/clay-alternative-google-sheets/","Clay","merge_content_then_301","yes"
